index,Company Name,Industry,Symbol
POWERGRID.NS,Power Grid Corporation of India Ltd.,Power,POWERGRID.NS
PRESTIGE.NS,Prestige Estates Projects Ltd.,Realty,PRESTIGE.NS
PNB.NS,Punjab National Bank,Financial Services,PNB.NS
RECLTD.NS,REC Ltd.,Financial Services,RECLTD.NS
RVNL.NS,Rail Vikas Nigam Ltd.,Construction,RVNL.NS
RELIANCE.NS,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE.NS
SBICARD.NS,SBI Cards and Payment Services Ltd.,Financial Services,SBICARD.NS
SBILIFE.NS,SBI Life Insurance Company Ltd.,Financial Services,SBILIFE.NS
SJVN.NS,SJVN Ltd.,Power,SJVN.NS
SRF.NS,SRF Ltd.,Chemicals,SRF.NS
MOTHERSON.NS,Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON.NS
SHREECEM.NS,Shree Cement Ltd.,Construction Materials,SHREECEM.NS
SHRIRAMFIN.NS,Shriram Finance Ltd.,Financial Services,SHRIRAMFIN.NS
SIEMENS.NS,Siemens Ltd.,Capital Goods,SIEMENS.NS
SONACOMS.NS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS.NS
SBIN.NS,State Bank of India,Financial Services,SBIN.NS
SAIL.NS,Steel Authority of India Ltd.,Metals & Mining,SAIL.NS
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA.NS
SUNTV.NS,Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV.NS
SUPREMEIND.NS,Supreme Industries Ltd.,Capital Goods,SUPREMEIND.NS
SUZLON.NS,Suzlon Energy Ltd.,Capital Goods,SUZLON.NS
SYNGENE.NS,Syngene International Ltd.,Healthcare,SYNGENE.NS
TVSMOTOR.NS,TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR.NS
TATACHEM.NS,Tata Chemicals Ltd.,Chemicals,TATACHEM.NS
TATACOMM.NS,Tata Communications Ltd.,Telecommunication,TATACOMM.NS
TCS.NS,Tata Consultancy Services Ltd.,Information Technology,TCS.NS
TATACONSUM.NS,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM.NS
TATAELXSI.NS,Tata Elxsi Ltd.,Information Technology,TATAELXSI.NS
TATAMTRDVR.NS,Tata Motors Ltd DVR,Automobile and Auto Components,TATAMTRDVR.NS
TATAMOTORS.NS,Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS.NS
TATAPOWER.NS,Tata Power Co. Ltd.,Power,TATAPOWER.NS
TATASTEEL.NS,Tata Steel Ltd.,Metals & Mining,TATASTEEL.NS
TATATECH.NS,Tata Technologies Ltd.,Information Technology,TATATECH.NS
TECHM.NS,Tech Mahindra Ltd.,Information Technology,TECHM.NS
TITAN.NS,Titan Company Ltd.,Consumer Durables,TITAN.NS
TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM.NS
TORNTPOWER.NS,Torrent Power Ltd.,Power,TORNTPOWER.NS
TRENT.NS,Trent Ltd.,Consumer Services,TRENT.NS
TIINDIA.NS,Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA.NS
UPL.NS,UPL Ltd.,Chemicals,UPL.NS
ULTRACEMCO.NS,UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO.NS
UNIONBANK.NS,Union Bank of India,Financial Services,UNIONBANK.NS
MCDOWELL-N.NS,United Spirits Ltd.,Fast Moving Consumer Goods,MCDOWELL-N.NS
VBL.NS,Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL.NS
VEDL.NS,Vedanta Ltd.,Metals & Mining,VEDL.NS
IDEA.NS,Vodafone Idea Ltd.,Telecommunication,IDEA.NS
VOLTAS.NS,Voltas Ltd.,Consumer Durables,VOLTAS.NS
WIPRO.NS,Wipro Ltd.,Information Technology,WIPRO.NS
YESBANK.NS,Yes Bank Ltd.,Financial Services,YESBANK.NS
ZEEL.NS,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL.NS
ZOMATO.NS,Zomato Ltd.,Consumer Services,ZOMATO.NS
ZYDUSLIFE.NS,Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE.NS
